cnpj,razao_social,nome_fantasia,cep,endereco,bairro,cidade,uf,telefone,whatsapp,canal_preferencial,latitude,longitude,ativo,service_radius_km,prioridade,atende_empresarial,atende_residencial
14476613,LG COMERCIO DE GAS LP LTDA,,,,,,,,,,,,True,,0,True,True
08370382000157,LIGAS COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
05615802000120,LINHARES CAVALCANTE E CIA LTDA,,,,,,,,,,,,True,,0,True,True
05615802000391,LINHARES CAVALCANTE E CIA LTDA,,,,,,,,,,,,True,,0,True,True
6970913,LINO MELO LOIOLA,,,,,,,,,,,,True,,0,True,True
48723713,L J COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
28547113,L L CASTRO COMERCIO DE GAS,,,,,,,,,,,,True,,0,True,True
09188305000658,LOG COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
09188305000143,LOG COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
41293113,LUCIMAR C DE ARAUJO,,,,,,,,,,,,True,,0,True,True
04295547000112,LUCIVANDA MARIA SERPA PAIVA,,,,,,,,,,,,True,,0,True,True
03602329001192,LUIZA GLAURIA R T MENEZES,,,,,,,,,,,,True,,0,True,True
03602329000110,LUIZA GLAURIA R T MENEZES LTDA,,,,,,,,,,,,True,,0,True,True
03602329000463,LUIZA GLAURIA R T MENEZES LTDA,,,,,,,,,,,,True,,0,True,True
03602329000706,LUIZA GLAURIA R T MENEZES LTDA,,,,,,,,,,,,True,,0,True,True
03602329000382,LUIZA GLAURIA R T MENEZES LTDA,,,,,,,,,,,,True,,0,True,True
03602329000544,LUIZA GLAURIA R T MENEZES LTDA,,,,,,,,,,,,True,,0,True,True
24341513,LUNA E LIMA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
02105074000118,M A COMERCIAL DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
08902789000188,M A COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
11737513,MARIA BARRETO DE OLIVEIRA,,,,,,,,,,,,True,,0,True,True
11737513,MARIA BARRETO DE OLIVEIRA,,,,,,,,,,,,True,,0,True,True
11737513,MARIA BARRETO DE OLIVEIRA,,,,,,,,,,,,True,,0,True,True
08281539000178,MARIA CLAUDIANE APOLONIO NOGUEIRA,,,,,,,,,,,,True,,0,True,True
63313113,MARIA DO SOCORRO OLIVEIRA MONTEIRO,,,,,,,,,,,,True,,0,True,True
41889313,MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
07879436000141,MARLENE P LINHARES F DE MELLO,,,,,,,,,,,,True,,0,True,True
07879436000222,MARLENE P LINHARES F DE MELLO,,,,,,,,,,,,True,,0,True,True
7340713,MARVIRE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,,,,,,,,,,,,True,,0,True,True
02678875000172,M C R COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07268055000126,M.DIAS DISTRIBUIDORA DE GLP LTDA-ME,,,,,,,,,,,,True,,0,True,True
07383659000709,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000202,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000628,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000385,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000547,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000466,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07383659000113,MELC COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07630106000207,MERCANTIL MAGALHAES SERAFIM LTDA,,,,,,,,,,,,True,,0,True,True
54804413,MESSEJANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
01498322000175,M H QUEIROZ HOLANDA LTDA,,,,,,,,,,,,True,,0,True,True
00275946000160,M J COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
06330967000380,MONOLITOS COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
06330967000118,MONOLITOS COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
02227468000149,M S DIOGENES DANTAS,,,,,,,,,,,,True,,0,True,True
41567913,MSM SOCIEDADE COMERCIAL LTDA,,,,,,,,,,,,True,,0,True,True
08093152000198,M V BEZERRA DE SOUSA,,,,,,,,,,,,True,,0,True,True
45928513,M V COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
55321813,MVM COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1108213,NACIONAL GAS PARACURU LTDA,,,,,,,,,,,,True,,0,True,True
11202813,NADIO COMERCIO DE GAS LIQUEFEITO DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
18136813,NOVA ALIANCA DISTRIBUIDORA DE G L P LTDA,,,,,,,,,,,,True,,0,True,True
3206213,PAPICU COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1811813,PARAISO DISTRIBUIDORA DE G L P LTDA,,,,,,,,,,,,True,,0,True,True
1811813,PARAISO DISTRIBUIDORA DE G L P LTDA,,,,,,,,,,,,True,,0,True,True
14671113,PAULINHO GAS LTDA,,,,,,,,,,,,True,,0,True,True
41297213,PAULO ROBERTO DE OLIVEIRA SILVA,,,,,,,,,,,,True,,0,True,True
28366913,PAULO VICTOR R CAVALCANTE COMERCIAL,,,,,,,,,,,,True,,0,True,True
32826113,P E A COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
10864713,PEDRASSANI COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
49405613,PEIXOTO COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
1112113,PETROLINA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
20278913,PINDOGAS COMERCIAL DE GAS GLP LTDA,,,,,,,,,,,,True,,0,True,True
08248916000762,PORCINO F DA COSTA E CIA,,,,,,,,,,,,True,,0,True,True
03517108000225,POSTO E POUSADA MOREIRA E PINHEIRO LTDA,,,,,,,,,,,,True,,0,True,True
08470231000251,POSTO RAMOS LTDA,,,,,,,,,,,,True,,0,True,True
57712513,QUINTINO CUNHA COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
09448890000173,RAPID GAS COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
03040349000145,RAPIGAS LTDA,,,,,,,,,,,,True,,0,True,True
6338213,RESENDE COMERCIO E DERIVADOS DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
15457113,REVENDA DE GAS RABELO LIMA LTDA,,,,,,,,,,,,True,,0,True,True
57513613,REVENDEDORA DE GAS CASTELAO LTDA,,,,,,,,,,,,True,,0,True,True
07905957000207,REVENDEDORA DE GAS E BEBIDAS PEDRASSANI LTDA,,,,,,,,,,,,True,,0,True,True
07905957000126,REVENDEDORA DE GAS E BEBIDAS PEDRASSANI LTDA,,,,,,,,,,,,True,,0,True,True
55511313,REVENDEDORA DE GAS SAO FRANCISCO LTDA,,,,,,,,,,,,True,,0,True,True
05737672000106,REVENDEDORA DE GAS XIMENES LTDA,,,,,,,,,,,,True,,0,True,True
08921541000164,REVENDEDORES DE GLP RG IGUAPE LTDA,,,,,,,,,,,,True,,0,True,True
08921541000245,REVENDEDORES DE GLP RG IGUAPE LTDA,,,,,,,,,,,,True,,0,True,True
29296413,R J COMERCIO VAREJISTA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
09619604000195,RL COMERCIO VAREJISTA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
4079213,R L G COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
03512579000160,R LUCAS MELO DE SOUSA LTDA,,,,,,,,,,,,True,,0,True,True
37496113,ROBERTO G MAIA,,,,,,,,,,,,True,,0,True,True
37755413,ROGERIO R DE LIMA COMERCIO DE GAS,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
18359613,SANTANA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05464545000172,SAO JOAO GAS LTDA,,,,,,,,,,,,True,,0,True,True
10404913,SAO MATHEUS COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
10404913,SAO MATHEUS COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
10404913,SAO MATHEUS COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
10404913,SAO MATHEUS COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
27511713,SELMA TRIGUEIRO AGUIAR,,,,,,,,,,,,True,,0,True,True
07185356000196,SILVEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07632893000137,SIQUEIRA GAS LTDA,,,,,,,,,,,,True,,0,True,True
47224513,SOMA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
02550672000104,SPINDOLA GAS LTDA,,,,,,,,,,,,True,,0,True,True
02550672000287,SPINDOLA GAS LTDA,,,,,,,,,,,,True,,0,True,True
11652413,SUPER JOTA P COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
11652413,SUPER JOTA P COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
11652413,SUPER JOTA P COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08201900000109,TOTALGAS COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05646748000422,UCHOA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05646748000180,UCHOA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05646748000856,UCHOA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05646748001151,UCHOA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
05646748001070,UCHOA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
