razao_social;cnpj
MESSEJANA COMERCIO DE GAS LTDA;5,48044E+13
M H QUEIROZ HOLANDA LTDA;01498322000175
M J COMERCIO VAREJISTA DE GLP LTDA;00275946000160
MONOLITOS COMERCIO DE GAS LTDA;06330967000380
MONOLITOS COMERCIO DE GAS LTDA;06330967000118
M S DIOGENES DANTAS;02227468000149
MSM SOCIEDADE COMERCIAL LTDA;4,15679E+13
M V BEZERRA DE SOUSA;08093152000198
M V COMERCIO DE GAS LTDA;4,59285E+13
MVM COMERCIO DE GAS LTDA;5,53218E+13
NACIONAL GAS PARACURU LTDA;1,1082E+13
NADIO COMERCIO DE GAS LIQUEFEITO DE PETROLEO LTDA;1,12028E+13
NOVA ALIANCA DISTRIBUIDORA DE G L P LTDA;1,81368E+13
PAPICU COMERCIO DE GAS LTDA;3,2062E+13
PARAISO DISTRIBUIDORA DE G L P LTDA;1,8118E+13
PARAISO DISTRIBUIDORA DE G L P LTDA;1,8118E+13
PAULINHO GAS LTDA;1,46711E+13
PAULO ROBERTO DE OLIVEIRA SILVA;4,12972E+13
PAULO VICTOR R CAVALCANTE COMERCIAL;2,83669E+13
P E A COMERCIO DE GAS LTDA;3,28261E+13
PEDRASSANI COMERCIO DE GLP LTDA;1,08647E+13
PEIXOTO COMERCIO VAREJISTA DE GLP LTDA;4,94056E+13
PETROLINA COMERCIAL DE GAS LTDA;1,1121E+13
PINDOGAS COMERCIAL DE GAS GLP LTDA;2,02789E+13
PORCINO F DA COSTA E CIA;08248916000762
POSTO E POUSADA MOREIRA E PINHEIRO LTDA;03517108000225
POSTO RAMOS LTDA;08470231000251
QUINTINO CUNHA COMERCIO VAREJISTA DE GLP LTDA;5,77125E+13
RAPID GAS COMERCIO VAREJISTA DE GLP LTDA;09448890000173
RAPIGAS LTDA;03040349000145
RESENDE COMERCIO E DERIVADOS DE PETROLEO LTDA;6,3382E+13
REVENDA DE GAS RABELO LIMA LTDA;1,54571E+13
REVENDEDORA DE GAS CASTELAO LTDA;5,75136E+13
REVENDEDORA DE GAS E BEBIDAS PEDRASSANI LTDA;07905957000207
REVENDEDORA DE GAS E BEBIDAS PEDRASSANI LTDA;07905957000126
REVENDEDORA DE GAS SAO FRANCISCO LTDA;5,55113E+13
REVENDEDORA DE GAS XIMENES LTDA;05737672000106
REVENDEDORES DE GLP RG IGUAPE LTDA;08921541000164
REVENDEDORES DE GLP RG IGUAPE LTDA;08921541000245
