razao_social;cnpj
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;8,41104E+13
M V COMERCIO VAREJISTA DE AGUA E GAS LTDA;5,78057E+13
NAGILB N N LTDA;2,47284E+13
N C DE VASCONCELOS COMERCIO VAREJISTA DE GAS LTDA;2,47234E+13
NDS COMERCIO DE GAS LTDA;03365821000110
NEOGAS COMERCIO LTDA;05304751000115
NEOGAS COMERCIO VAREJISTA DE AGUA E GAS LTDA;5,43297E+13
NINA MARIA MENDES DA SILVA;1,26591E+13
NOBRE COMERCIO DE GLP EIRELI;01271426000142
NOGUCHI COMERCIO E DISTRIBUICAO LTDA;1,1826E+13
NOGUCHI COMERCIO E DISTRIBUICAO LTDA;1,1826E+13
NOVA ESPERANCA GAS LTDA;4,94783E+13
OLIVEIRA COMERCIO DE GAS LTDA;4,36391E+13
OLIVEIRA PAIXAO COMERCIO DE GAS LTDA;1,03643E+13
PACHECO E KAPP LTDA;1,40686E+13
PANTOJA COMERCIO DE GAS LTDA;1,25786E+13
PARAGAS LINS LTDA;1,9486E+13
PARAGOMINAS GAS LTDA;05857966000163
PARAGUASSU COMERCIO E TRANSPORTE DE GAS LTDA;1,09726E+13
PARAISO GAS LTDA;2,96003E+13
P B PINHEIRO;07081088000162
P CARVALHO E CIA LTDA;1,41409E+13
P C R PAIVA COMERCIAL LTDA;06972477000115
P C R PAIVA COMERCIAL LTDA;06972477000468
P C R PAIVA COMERCIAL LTDA;06972477000204
P E C COM DE GLP E BEBIDAS LTDA;1,048E+13
PINHEIRO E TAVARES COMERCIO DE GAS LTDA;03441142000182
PITY COMERCIO DE GAS LTDA;06910433000160
PORTAL COMERCIO DE GAS EIRELI;2,73706E+13
PORTAL DISTRIBUIDORA DE GAS LTDA;5,26608E+13
PORTELA COMERCIO DE GAS LTDA;1,46607E+13
POSTO ANTUNES LTDA;04060518000171
POSTO AREIA BRANCA LTDA;2,06466E+13
POSTO GONCALVES LTDA;2,6256E+13
POSTO GONCALVES LTDA;2,6256E+13
POSTO ILHA DO OUTEIRO LTDA;2,63153E+13
POSTO IMPERIAL LTDA;1,29522E+13
POSTO IMPERIAL LTDA;1,29522E+13
POSTO JESUS POR NOS COMERCIO DE COMBUSTIVEL LTDA;3,49392E+13
POSTO NOSSA SENHORA DE NAZARE COMERCIO DE COMBUSTIVEIS LTDA;4,14974E+13
POSTO O NOVO GUERREIRO LTDA;1,96892E+13
POSTO PARAISO LTDA;1,31178E+13
POSTO PARAISO LTDA;1,31178E+13
POSTO PARAISO LTDA;1,31178E+13
POSTO SERTAO COMBUSTIVEIS LTDA;07763598000110
POSTOS RP COM. DE COMBUSTIVEIS E SERV. E MANUTENCAO EIRELI;2,43203E+13
P R DA CRUZ COM VAR DE GAS LIQ DE PETROLEO GLP;3,64466E+13
PRISCILA COMERCIO DE GAS LTDA;5,66911E+13
RAIMUNDO NONATO DE SOUZA SIQUEIRA E CIA LTDA;1,13701E+13
RAMOS E SILVA PESCADOS LTDA;1,9511E+13
R B CORREA MERCANTIL;00911682000194
R CARLOS MOURA RIBEIRO;2,38275E+13
R C BATISTA;07525534000180
R DE SOUZA SA;5,23029E+13
R DE SOUZA SA;5,23029E+13
R DO S BRITO VIEIRA LTDA;2,94584E+13
R E F COMERCIO VAREJISTA DE GLP LTDA;1,31272E+13
R F DE SOUSA LTDA;1,3775E+13
R FERREIRA DE OLIVEIRA FILHO;05748513000107
R N POSTO DE COMBUSTIVEIS EIRELI;3,46286E+13
ROCHA REVENDEDORA DE BEBIDAS E GAS L P LTDA;1,1048E+13
RONALD LIMA RODRIGUES;2,93485E+13
RONI GAS E ENGENHARIA LTDA;2,7136E+13
RRS PARAGUASSU;05389906000163
R S DE OLIVEIRA COMERCIO DE COMBUSTIVEL LTDA;4,75056E+13
R SOARES COMERCIO DE GAS LTDA;5,9747E+13
SALGAS COMERCIO DE GAS LTDA;04753840000348
SALGAS COMERCIO DE GAS LTDA;04753840000186
SANTOS COMERCIO DE GAS LTDA;5,57138E+13
SANTOS E SANTOS COMERCIO DE GAS E BEBIDAS LTDA;3,23261E+13
S C B SANTOS E CIA LTDA;09435916000149
S DO S DA SILVA COSTA GAS;3,04858E+13
SIDNEI RODRIGUES RAMOS;4,76177E+13
SINAI MEDICALL COMERCIO E SERVICOS LTDA;2,41387E+13
SIQUEIRA E PASSOS LTDA;1,74803E+13
S M F M LOBATO E CIA LTDA;04039265000154
SOBERANA VEICULOS LTDA - ME;3,48169E+13
SONHO MEU 3 DISTRIBUIDORA DE AGUA E GAS LTDA;4,71856E+13
SOUZA DIAS COMERCIO VAREJISTA DE COMBUSTIVEL LTDA;1,79996E+13
SPGAS COMERCIO VAREJISTA LTDA;4,8993E+13
S RODRIGUES RAMOS EIRELI;3,13692E+13
S S DOS SANTOS COMERCIO DE AGUA E GAS;3,05208E+13
SUPERGAS ANANIDEUA LTDA;08991691000144
T A ALVES COMERCIO DE GAS;4,95453E+13
TCL COMERCIO DE GAS LTDA;3,75878E+13
TNT COMERCIO DE GAS LTDA;09241869000100
TOP GAS COMERCIO DE GAS LTDA;1,1113E+13
TOP GAS COMERCIO LTDA;4,786E+13
T QUEIROZ BRINGEL LTDA;08797967000158
ULTRAPAAR COMERCIO VAREJISTA DE GLP LTDA;09439686000196
V A CABRAL REBELO VIANNA;3,18509E+13
VALTINHO S M AMARAL;09289126000283
VALTINHO S M AMARAL;09289126000364
VAREJAO DO GAS LTDA;4,52841E+13
VG COMERCIO DE GAS LIQUEFEITO DE PETROLEO LTDA;4,54476E+13
VILA DAS CASTANHEIRAS COMERCIO DE GLP LTDA;1,04781E+13
W L SOUSA;3,24512E+13
W L SOUSA;3,24512E+13
W L SOUSA;3,24512E+13
Z M DA LUZ LTDA;5,56983E+13
54540926 EMILLY DANTAS DOS SANTOS;5,45409E+13
A2 COMERCIAL DE GAS E AGUA LTDA;3,595E+13
ADE DISTRIBUICAO DE GAS LTDA;4,71406E+13
A DE OLIVEIRA SANTOS GAS;2,1367E+13
A D L COMERCIO DE GAS LTDA;3,25961E+13
ADNALVINO DIAS DE DEUS JUNIOR;05321775000182
ADRI COMERCIO E TRANSPORTES DE GAS LTDA;1,37684E+13
ALTIERY DOMINGOS SILVA LIMA;2,39582E+13
A MACEDO SANTIAGO MATERIAL DE CONSTRUCAO;9,73972E+13
AMADEU GARRIDO RIBEIRO GLP;1,43135E+13
AMARAILDO RIBEIRO DE SOUZA EIRELI;03490041000100
AMARAILDO RIBEIRO DE SOUZA EIRELI;03490041000282
A. M. DE SOUZA COMERCIO DE GAS EIRELI;2,61229E+13
A M MAGALHAES BISPO LTDA;2,87212E+13
ANAILSON APRESENTACAO GOMES SILVA LTDA;3,9494E+13
ANA M C NOVAIS E CIA LTDA;4,20863E+13
ANA M C NOVAIS E CIA LTDA;4,20863E+13
ANA M C NOVAIS E CIA LTDA;4,20863E+13
ANDERSON ASSUNCAO BASTOS VIANA;07618976000171
ANDERSON M TEIXEIRA GAS;2,15255E+13
ANDERSON M TEIXEIRA GAS;2,15255E+13
ANDRADE DISTRIBUIDORA DE GAS LTDA;4,93682E+13
ANDRE GUSTAVO DA SILVA NASCIMENTO;1,07236E+13
ANTEMARIO ARAUJO CAMPOS;1,34616E+13
ANTONIA MARIA LIMA PITON LTDA;3,95619E+13
ANTONIO FERREIRA DOS SANTOS LIMITADA;3,32277E+13
ANTONIO LISBOA CORDEIRO MARTINS E CIA LTDA;1,51349E+13
ANTONIO PEREIRA PIMENTEL JUNIOR LTDA;4,73063E+13
ANTONIO SANTOS REIS DE ARAMARI;3,18378E+13
ARACI DISTRIBUIDORA DE AGUA E GAS LTDA;2,66616E+13
ARTE TRANSPORTE E REVENDA DE GAS LTDA;04184301000254
ARTE TRANSPORTE E REVENDA DE GAS LTDA;04184301000173
ASF COMERCIO VAREJISTA DE GAS LTDA;5,33756E+13
AUTO POSTO IBIRAPITANGA COM DE DERIVADOS DE PETROLEO LTDA;2,00514E+13
AUZINETE MARIA DE ALMEIDA SILVA;3,49272E+13
AZEVEDO E RIBEIRO LTDA;04474028000111
AZEVEDO E RIBEIRO LTDA;04474028000200
BAQUEIRO SILVA COMERCIO DE GAS LTDA;1,33821E+13
BARRETO COMERCIO DE GAS LTDA;1,72735E+13
BOCA DO RIO COMERCIO DE GAS LTDA;3,38649E+13
BULCAO GAS LTDA;3,65504E+13
CALAZANS COMERCIO DE GLP LTDA;3,14375E+13
CASTRO E ANDRADE COMERCIAL DE GAS LTDA;2,98066E+13
C DANTAS DE MACEDO EIRELI;2,62967E+13
C DOS SANTOS JUNIOR;2,21597E+13
CENTRALGAS VS COMERCIO VAREJISTA DE GAS LTDA;5,72787E+13
CENTRALGASVSS COMERCIO VAREJISTA DE GLP LTDA;2,82625E+13
CHAMA GAS REVENDEDORA LTDA;5,41784E+13
CLACIB COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO LTDA;1,67076E+13
CLARIGAS REVENDEDORA LTDA;4,09143E+13
COMERCIAL DE COMBUSTIVEIS LAGO MEIRELLES LTDA;1,57243E+13
COMERCIAL DE GAS FONTES RIBEIRO LTDA;2,81404E+13
COMERCIAL DE GAS KCG LTDA;4,54602E+13
COMERCIAL GAS EXPRESSO EIRELI;2,91544E+13
COMERCIAL UNIVERSO LTDA;3,65886E+13
COMERCIO DE GAS COSTA AZUL LTDA;2,81694E+13
COMERCIO DE GAS E AGUA SAO FRANCISCO LTDA;4,38668E+13
COMERCIO DE GAS LIQUIFE DE PETROLEO ROZENDO VASCONCELOS LTDA;3,24802E+13
CONTINENTAL GAS LTDA;1,07283E+13
CORTES COMERCIO VAREJISTA DE GAS LTDA;4,65312E+13
DAMASCENO GAS E AGUA LTDA;3,2448E+13
DANILO O SANTOS;4,61099E+13
DDR COMERCIO VAREJISTA DE GAS LTDA;2,95929E+13
DIGENAL DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA;1,30156E+13
DINHO GAS LTDA;1,0604E+13
DISTRIBUIDORA DE GAS E BEBIDAS ANDRADENSE LTDA;1,4551E+13
DKD COMERCIO DE GAS E AGUA LTDA;3,57127E+13
D SOUZA SANTANA GLP;3,96177E+13
DUBAI GAS COMERCIO VAREJISTA DE GLP EIRELI;3,63455E+13
EDILELIA MARTINS DA SILVA;2,46792E+13
EDMARCIO DE JESUS GUALBERTO;1,67292E+13
EDMILSON MIRANDA DE ALMEIDA;08307658000152
EDSON ROSAS LIMA LTDA;4,58455E+13
EDUARDO DA SILVA ROCHA DE POJUCA;06886879000105
EDUARDO PINHEIRO DOS SANTOS DE CRISOPOLIS;3,64122E+13
E J DA SILVA COMERCIO DE GAS GLP;1,43888E+13
ELIELSON OLIVEIRA DE SOUZA;1,14232E+13
E L S MOREIRA COMERCIAL LTDA;4,22766E+13
EO DE SOUZA COMERCIO VAREJISTA DE GAS LTDA;4,00773E+13
ERICLEIDE ALVES DOS SANTOS;2,91629E+13
EZEQUIEL CERQUEIRA DAS NEVES;2,20337E+13
FABRICIO SOUZA DE QUEIROZ COMERCIO DE GLP;3,79862E+13
FERNANDES COMERCIO VAREJISTA DE GAS EIRELI;4,14914E+13
FERNANDO SANTANA MATOS;1,69077E+13
FERREIRA E GOMES CIA LTDA;2,24263E+13
FIRES GAS DISTRIBUICAO E TRANSPORTE LTDA;4,06098E+13
FIUZA GAS E AGUA LTDA;5,58634E+13
F J DE LIMA COMERCIAL DE GAS LTDA;1,95754E+13
F. L. O. S COMERCIO DE GAS LTDA;2,81133E+13
FORTALEZA GAS LTDA;2,623E+13
FOX GAS LTDA;1,45339E+13
FRAMEL COMERCIO VAREJISTA DE GAS E BEBIDAS LTDA;4,13439E+13
FRANCISCO DE JESUS BASTOS;07765333000150
FRANCISCO DEOCLECIO DE SOUZA CRUZ;00108270000110
GABRIEL SOUZA NASCIMENTO;3,16112E+13
GALVAO DISTRIBUIDORA DE GAS E BEBIDAS LTDA;5,39089E+13
GAS DAS PEDRINHAS COMERCIO VAREJISTA DE GLP LTDA;3,98879E+13
GAS FERREIRA LTDA;3,77683E+13
GAS MOTA DISTRIBUIDORA LTDA;5,3061E+13
GAS PAPAI NOEL EIRELI;2,62462E+13
GAS SAPEACU LTDA;3,82314E+13
GENEVALDO JOSE FERNANDES GAS ME;2,12269E+13
GILEADE FERREIRA DOS SANTOS;08092600000139
GILEANDRO MOTA LIMA LTDA;2,66587E+13
GILSON MORAIS PATRIOTA COMERCIO DE GAS LTDA;1,48258E+13
GINEVALDO ARAGAO OLIVEIRA E CIA LTDA;2,53058E+13
GRUPO RM SERVICOS E COMERCIO LTDA;4,70096E+13
G S A CRUZ COMERCIO VAREJISTA DE GLP;3,10058E+13
G S C COMERCIO DE GAS LTDA;2,92455E+13
GUSTAVO GAS EIRELI;3,42099E+13
HB MENDES JUNIOR;08705447000178
HERIDAN MENDES CAVALCANTI CARDOSO;3,95279E+13
IBERVAL DA LUZ NASCIMENTO COMERCIO DE GAS;2,4973E+13
IDAILDO COMERCIO DE GAS E AGUA LTDA;1,02069E+13
INTERGAS DISTRIBUIDORA DE GAS LTDA;06983476000176
IRACI LIMA DOS SANTOS DE SALVADOR;04071705000150
IRMAOS ALMEIDA COMERCIO VAREJISTA DE GLP LTDA;5,56945E+13
IRMAOS MOTA COMERCIO DE GAS E AGUA LTDA;3,06581E+13
ISALINE OLIVEIRA SILVA LTDA;4,4055E+13
ISRAEL NEIVA DE OLIVEIRA;1,89159E+13
IVAN CARLOS RIBEIRO LIMA;1,14156E+13
IZIDORIO DA LUZ SANTOS EIRELI;3,21414E+13
JA DA SILVA GAS BUTANO LTDA;5,61284E+13
JAI TRANSPORTES E COMERCIO DE GAS LTDA;7,36197E+13
JAI TRANSPORTES E COMERCIO DE GAS LTDA;7,36197E+13
JAI TRANSPORTES E COMERCIO DE GAS LTDA;7,36197E+13
JAI TRANSPORTES E COMERCIO DE GAS LTDA;7,36197E+13
JAI TRANSPORTES E COMERCIO DE GAS LTDA;7,36197E+13
JAMILE JESUS DE SOUZA EIRELI;3,6211E+13
JB REVENDEDORA DE GAS LTDA;4,33678E+13
J C MACEDO DA SILVA;08255900000191
J C N COMERCIAL DE GAS LTDA;4,00592E+13
JC SONORIZACAO PRODUCOES E EVENTOS LTDA;1,3255E+13
JEFFERSON SILVA DOS SANTOS;2,41009E+13
J E M DISTRIBUIDORA DE GAS E AGUA LTDA;2,87442E+13
JIBSON MENDES DA SILVA;4,74902E+13
JNQX COMERCIAL LTDA;1,10476E+13
JOAO CARLOS DE SENA ARAUJO;06942887000113
JOAO COMERCIO DE GAS LTDA;3,35668E+13
JONATAN SANTOS NOGUEIRA;3,10892E+13
JORGINHO COMERCIO DE GAS EIRELI;1,9322E+13
JOSANGELA DE LIMA SOUZA;07672656000108
JOSE BARBOSA LEAL FILHO LTDA;00597744001107
JOSE BARBOSA LEAL FILHO LTDA;00597744000488
JOSE CARLOS ALVES DE ARAUJO;1,16501E+13
JOSE DA CRUZ OLIVEIRA DE CRISOPOLIS;1,81123E+13
JOSE EDVON BRAZ;00971335000157
JOSE ELSON DE OLIVEIRA RIBEIRO;02626610000120
JOSE HAMILTON EVANGELISTA DE SANTANA;3,39708E+13
JOSE MOREIRA DA SILVA FILHO E CIA LTDA;4,82006E+13
JOSE NILTON FERREIRA DE OLIVEIRA DE SAO DOMINGOS;1,41679E+13
JP GAS LTDA;3,21058E+13
J P RIBEIRO NETO LTDA;2,79556E+13
JR GAS DISTRIBUIDORA DE ALAGOINHAS LTDA;4,07614E+13
JR REVENDA DE GLP LTDA;3,81986E+13
JS DA S ALMEIDA GAS;4,06675E+13
JUAREZ RODRIGUES DOS SANTOS COMERCIO DE GAS;4,06262E+13
JULIANA COSTA PEREIRA DOS SANTOS;4,0616E+13
JUNIOR COMERCIO VAREJISTA DE GAS LTDA;3,2143E+13
JUSSARA MAGALHAES MACHADO;3,13282E+13
KAPENGA COMERCIAL DE GAS LTDA;4,48092E+13
KI GAS COMERCIO E TRANSPORTES EIRELI;2,20229E+13
KI GAS DE RIACHAO DO JACUIPE COMERCIAL LTDA;3,70691E+13
L I COMERCIO DE GAS LTDA;2,00114E+13
LITORAL GAS COMERCIO E SERVICOS LTDA;02695348000176
LOURENCO BORGES BRAGA DE AGUIAR;03071787000170
LUANA GAMA COSTA MARTINS;4,67947E+13
LUCAS BARBOSA DE OLIVEIRA;3,27695E+13
LUCIEDE DA SILVA FERREIRA ARAUJO;02610682000180
LUIS AUGUSTO DE JESUS;01642159000172
LUIZ N C NOVAIS COMERCIO DE GAS E TRANSPORTES LTDA;1,51727E+13
LUIZ N C NOVAIS COMERCIO DE GAS E TRANSPORTES LTDA;1,51727E+13
LUZANILDE LOPES DOS REIS LTDA;1,46933E+13
MACHADO COMERCIO DE GAS LTDA;2,0064E+13
MARCIO SOUZA DA SILVA;08466545000108
MARCOS ALMEIDA DOS SANTOS COMERCIO DE GAS;07908735000167
MARCOS BRITO GOMES REVENDEDOR DE GAS;3,3486E+13
MARCOS E RUTH COMERCIAL LTDA;1,7421E+13
MARCSON COMERCIO DE DERIVADOS DE PETROLEO E TRANSPORTES LTDA;1,72913E+13
MARIA JOSE DE JESUS CERQUEIRA ARAUJO;2,13759E+13
MARIA NILZA LEAL CERQUEIRA;1,14463E+13
MAS COMERCIO DE GAS LTDA;2,87242E+13
MAURICIO NASCIMENTO DE SANTANA LTDA;4,09358E+13
MELHOR GAS LTDA;6,00488E+13
MENDES E ARAUJO COMERCIO DE GAS LTDA;5,08583E+13
MENDES LIMA COMERCIO DE GAS E ALIMENTOS LTDA;2,07689E+13
MENESES SANTOS COMERCIO DE GAS E BEBIDAS LTDA;2,6462E+13
MERO COMERCIO DE GAS LTDA;5,91428E+13
MICAELE SANTANA DUARTE LTDA;2,12152E+13
MIRELLA PRAZERES SILVA DOS SANTOS;4,6691E+13
M J REVENDEDORA DE GAS LTDA;1,22506E+13
MKR GAMA LTDA;4,94939E+13
MM EMPRENDIMENTOS COMERCIO E SERVICOS LTDA;1,96665E+13
MOREIRA DISTRIBUIDORA DE AGUA E GAS LTDA;4,77092E+13
MSC GAS LTDA;4,13637E+13
MULTIMIX COMERCIO DE GAS LTDA;1,02301E+13
N C DOURADO GUIMARAES LTDA;1,86912E+13
NJ SENA;03134976000145
N O R FERNANDES LTDA;1,6801E+13
NOVA BRASILIA COMERCIO DE GAS LTDA;4,83281E+13
NR COMERCIO VAREJISTA DE GAS LIQUEFEITO E PETROLEO LTDA;4,74545E+13
NS TRINDADE TRANSPORTES E COMERCIO DE GAS LTDA;4,56196E+13
PAI E FILHO DERIVADOS DE PETROLEO LTDA;2,42198E+13
PARANHOS COMERCIO DE GAS EIRELI;3,1574E+13
PASSOS COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO LTDA;09274353000154
PEDRO AYRTON JACOBINA MOTA ALMEIDA LTDA;1,50269E+13
PEDRO AYRTON J MOTA ALMEIDA;3,99139E+13
PEREIRA COMERCIO DE GAS LTDA;1,53991E+13
PEREIRA COMERCIO DE GAS LTDA;1,53991E+13
P H JR COMERCIO VAREJISTA DE GLP LTDA;3,88212E+13
PIMENTEL E SOUZA SUPER GAS LTDA;3,55221E+13
PIMENTEL S SUPER GAS LTDA;3,37073E+13
POP DISTRIBUIDORA DE GLP LTDA;3,27767E+13
POSTO 3 PALMEIRAS LTDA;4,95076E+13
POSTO DE COMBUSTIVEIS GM LTDA;2,46537E+13
POSTO LIDERY COMERCIO LTDA;2,67841E+13
POTENCIAL DO GAS JL LTDA;4,47847E+13
PREFEITO GAS E AGUA LTDA;5,94284E+13
RAFAEL OLIVEIRA MACEDO;5,23112E+13
RECONCAVO COMERCIO DE GAS LTDA;1,87036E+13
REGIS COMERCIO DE GAS LTDA;2,33586E+13
RENATO MENDES DE BRITO;1,90811E+13
REPRAVA REPRESENTACOES DE VALENCA LTDA;1,46909E+13
REVENDEDORA DE GAS DIAS D AVILA LTDA;09067643000127
RG SILVA COMERCIO DE GAS LTDA;08196067000155
RICARDO DE SOUZA LIMA;3,1166E+13
RIQUE COMERCIO DE GAS LTDA;3,04184E+13
R J COMERCIO DE GAS LTDA;01414046000110
ROCHA GAS INHAMBUPE EIRELI;3,82864E+13
ROSIMEIRE ELIAS BEZERRA;06085337000125
ROSVALDO DANTAS DE MENEZES JUNIOR LTDA;2E+13
R.P. DA SILVA DE BRITO;1,46574E+13
R QUEIROZ DIAS;2,94724E+13
RS COMERCIAL DE GAS LTDA;1,43536E+13
RSD DISTRIBUIDORA DE GAS LTDA;5,59121E+13
RUI OLIVEIRA NUNES;06243643000142
RUTH MESSIAS VELAME RIBEIRO AGUIA;02646935000175
RV COMERCIO DE GAS LTDA;2,32014E+13
RV REVENDEDORA DE GAS LIQUIFEITO DE PETROLEO LTDA;3,87123E+13
SANTANA DE SOUZA E OLIVEIRA LTDA;1,81425E+13
SANTOS E VIEIRA COMERCIO LTDA;2,379E+13
SAO FRANCISCO COMERCIO DE GAS LTDA;2,24849E+13
SAO FRANCISCO GAS E AGUA LTDA;1,99612E+13
S A O S REVENDA DE GAS LTDA;4,79452E+13
SEBASTIANA FLORENCIO FERREIRA;1,33977E+13
SERGIO SANTANA REIS;5,0359E+13
SIMOES FILHO GAS COMERCIO VAREJISTA DE GLP LTDA;3,94134E+13
S P DOS SANTOS SANTANA GAS LTDA;3,66676E+13
SPRINT GAS LTDA;4,4571E+13
STELLA MARES COMERCIO DE GAS LTDA;2,89516E+13
SUPER CINTRA COMERCIO DE ALIMENTOS LTDA;3,63141E+13
TAPEROA LITORAL COMERCIAL DE GAS LTDA;1,38393E+13
TDS COMERCIO VAREJISTA DE GLP LTDA;3,01458E+13
THAM COMERCIAL E DISTRIBUIDORA DE GLP LTDA;1,10546E+13
TJ COMERCIO DE GAS LTDA;3,80827E+13
TRENTINI GAS LTDA;07763599000164
UEDVANCE PAIM MATOS;2,0603E+13
UEDVANCE PAIM MATOS LTDA;4,48744E+13
UNIAO GAS LTDA;1,03605E+13
VALENTINA MACHADO COMERCIO DE GAS LTDA;4,521E+13
VALESCA DE BARROS LIMA;2,5902E+13
V DE JESUS ALMEIDA;1,15076E+13
VENAS COM E TRANSP DE GAS LTDA;1,28428E+13
VERA CRUZ GAS LIQUEFEITO DE PETROLEO LTDA;4,34656E+13
VG REVENDA DE GAS LTDA;3,09495E+13
VIANA LIMA COMERCIO DE GAS LTDA;4,81199E+13
VIEIRA E PINHEIRO LTDA;1,98761E+13
VILASGAS COMERCIO DE GAS LTDA;05091716000165
VIP GAS BAHIA LTDA;4,22021E+13
VITORIA RESENDE RANGEL;4,62851E+13
VSS COMERCIO VAREJISTA DE GLP LTDA;3,6716E+13
WILLIAM BARBOSA MORAIS;1,45708E+13
YB SAMPAIO DE OLIVEIRA LTDA;5,77532E+13
Y Y BARRETO DE OLIVEIRA LTDA;1,84558E+13
ZANINI DISTRIBUIDORA DE BEBIDAS LTDA;1,05054E+13
A A DOS SANTOS COMERCIO DE GAS LTDA;1,08526E+13
ABEL DOS SANTOS BORGES;2,92224E+13
ABINAEL ALVES DOS SANTOS LTDA;3,99712E+13
ABOBOREIRA E CAMPELO COMERCIO DE GAS LTDA;3,37073E+13
ACL GAS E AGUA LTDA;4,84998E+13
AGUIA GAS LTDA;4,37542E+13
A HERDEIRA DISTRIBUIDORA DE GAS LTDA;1,62027E+13
A HERDEIRA DISTRIBUIDORA DE GAS LTDA;1,62027E+13
ALBERTO GAS E AGUA MINERAL LTDA;1,24808E+13
ALEX E ABOBOREIRA COMERCIO DE GAS LTDA;1,04982E+13
ALMEIDA GAS LTDA;1,57066E+13
AMARILDO FREITAS DO NASCIMENTO;4,39445E+13
ANA CAROLAYNE LIMA DE JESUS SANTOS LTDA;3,43653E+13
ANCHIETA EVANGELISTA DA CRUZ NETO;3,06331E+13
ARACAJU GAS LTDA;03693271000168
BARBOSA COMERCIO DE GAS LTDA;06313227000173
BARRA GAS LTDA;3,37355E+13
B E C COMERCIO DE GLP LTDA;1,86568E+13
BOA VISTA COMERCIO E SERVICOS LTDA;2,69529E+13
CARLOS DIAS DA SILVA NETO;3,24923E+13
CARLOS JULIANO ROCHA ALMEIDA;8,6868E+13
CARVALHO COMERCIO VAREJISTA DE GAS E AGUA LTDA;2,17001E+13
CELSO N DE CARVALHO QUERO GAS LTDA;4,98469E+13
CLAUDIA GUADALUPE SANTOS NASCIMENTO;1,07785E+13
COMERCIAL AMORIM EIRELI;05918931000197
COMERCIAL DE GAS IMPERATRIZ DOS CAMPOS LTDA;02295238000117
COMERCIAL DE GAS MENEZES EIRELI;07581211000295
COMERCIAL DE GAS MENEZES EIRELI;07581211000104
COMERCIAL DE GLP SANTO ANTONIO LTDA;07580628000152
COMERCIAL LUANAR LTDA;03900011000205
COMERCIAL SERTANEJA LTDA;1,07932E+13
COMERCIAL SERTANEJA LTDA;1,07932E+13
CONSTRUCOES A E R LTDA;1,12772E+13
CREMILDA GOMES DOS SANTOS;08183254000102
DEPOSITO DE GAS JR19 LTDA;5,01241E+13
DERIVALDO DOS SANTOS COMERCIO DE GLP;2,18565E+13
DISTRIBUIDORA DE GAS E AGUA 3 IRMAOS LTDA;4,419E+13
DISTRIBUIDORA DE GAS ELY CARVALHO EIRELI;09629672000135
DISTRIBUIDORA SANTO EXPEDITO LTDA;09310622000271
DISTRIBUIDORA SANTO EXPEDITO LTDA;09310622000190
DISTRIBUIDORA VIEIRA LTDA;4,75123E+13
EDINALDO GOMES REVENDEDOR DE GAS;1,34371E+13
EDSON GAS LTDA;5,22698E+13
EDSON PAULO DOS SANTOS;2,49215E+13
EME GAS LTDA;1,50665E+13
FELISBERTO SOARES ARAUJO;04652373000289
FELIX GAS COMERCIAL LTDA;4,33559E+13
FLAVIA SANTOS OLIVEIRA;2,03148E+13
FLAVIO SANTOS ROSARIO;1,87797E+13
GEISA DOS SANTOS LOBAO DISTRIBUIDORA;1,30696E+13
GEISA DOS SANTOS LOBAO DISTRIBUIDORA;1,30696E+13
GERAGAS GERALDO DISTRIBUIDOR DE GAS LTDA;01613890000170
GILBERTO SILVA;1,60905E+13
GUIMAS GAS EIRELI;2,4549E+13
G V DE MORAES;1,02022E+13
HELIO GAS DISTRIBUIDORA DE AGUA LTDA;09040441000191
IMPERIO COMERCIO DE GAS E AGUA MINERAL LTDA;03884885000127
IMPERIO COMERCIO VAREJISTA DE GAS E AGUA LTDA;3,95747E+13
IMPERIO GAS LTDA;3,68784E+13
J E G DISTRIBUIDOR DE GAS LTDA;1,4073E+13
J E N DISTRIBUIDORA DE GAS E AGUA MINERAL LTDA;05464012000190
JG AGUA E GAS LTDA;4,46006E+13
JOALDO COSTA CARVALHO NETO;3,49869E+13
JOALDO COSTA CARVALHO NETO;3,49869E+13
JOALDO COSTA CARVALHO NETO;3,49869E+13
JOELMA FELIX SILVA DE SANTANA;01659965000153
JOSE OLIVEIRA SANTOS;2,04788E+13
J R GAS LTDA;3,46867E+13
JR GAS REVENDEDORA LTDA;4,50881E+13
KACIO SANTOS BARRETO COMERCIO VAREJISTA DE GAS;2,19014E+13
KARINA SOARES;1,94581E+13
KSA DISTRIBUIDORA DE GAS E MATERIAL DE CONSTRUCAO LTDA;3,37359E+13
L E S GAS E AGUA MINERAL LTDA;2,98558E+13
LEUZINHA CELESTINO BISPO;2,14445E+13
LIDER GAS LTDA;3,65647E+13
LIMA GAS LTDA;4,403E+13
